UIC;Gare enquêtée;Classe d'âge;Pourcentage;Année
319012;Aix en Provence-TGV;40 ans à 49 ans;17.0;2015
319012;Aix en Provence-TGV;50 ans à 59 ans;18.9;2015
319012;Aix en Provence-TGV;19 ans et moins;2.23;2015
319012;Aix en Provence-TGV;60 ans et plus;25.7;2015
484006;Angers Saint Laud;60 ans et plus;17.2;2015
583005;Angoulême;20 ans à 29 ans;25.5;2012
583005;Angoulême;60 ans et plus;17.0;2012
762906;Lyon Saint Exupery TGV;50 ans à 59 ans;16.3;2016
751008;Marseille Saint-Charles;Non communiqué;0.24;2013
723197;Lyon Part Dieu;20 ans à 29 ans;34.6;2011
286005;Lille Flandres;50 ans à 59 ans;13.1;2013
142109;Lorraine TGV;40 ans à 49 ans;19.2;2017
142109;Lorraine TGV;20 ans à 29 ans;15.3;2017
142109;Lorraine TGV;60 ans et plus;27.9;2017
393702;Massy TGV;50 ans à 59 ans;21.2;2013
393702;Massy TGV;20 ans à 29 ans;21.9;2013
478404;Laval;60 ans et plus;19.0;2011
686006;Paris Gare de Lyon;60 ans et plus;11.1;2012
212027;Strasbourg;60 ans et plus;6.65;2010
784009;Perpignan;30 ans à 39 ans;7.79;2016
784009;Perpignan;40 ans à 49 ans;14.5;2016
784009;Perpignan;20 ans à 29 ans;18.9;2016
575001;Poitiers;40 ans à 49 ans;15.1;2015
471003;Rennes;50 ans à 59 ans;16.9;2014
471003;Rennes;60 ans et plus;13.9;2014
775007;Nîmes;60 ans et plus;16.4;2014
756056;Nice;19 ans et moins;14.4;2014
581009;Bordeaux Saint-Jean;30 ans à 39 ans;14.9;2014
581009;Bordeaux Saint-Jean;40 ans à 49 ans;13.6;2014
581009;Bordeaux Saint-Jean;20 ans à 29 ans;25.4;2014
318964;Avignon TGV;60 ans et plus;24.2;2015
673400;Biarritz;30 ans à 39 ans;9.14;2016
673004;Bayonne;40 ans à 49 ans;11.0;2013
673004;Bayonne;50 ans à 59 ans;17.1;2013
313874;Amiens;40 ans à 49 ans;9.89;2015
673004;Bayonne;60 ans et plus;19.4;2013
753657;Arles;19 ans et moins;12.6;2014
444877;Cherbourg;40 ans à 49 ans;18.9;2015
677005;Hendaye;20 ans à 29 ans;12.1;2016
182014;Colmar;20 ans à 29 ans;25.3;2017
757625;Cannes;50 ans à 59 ans;7.73;2015
757625;Cannes;20 ans à 29 ans;19.1;2015
677005;Hendaye;60 ans et plus;43.1;2016
757625;Cannes;60 ans et plus;19.7;2015
713040;Dijon;40 ans à 49 ans;14.6;2015
478404;Laval;19 ans et moins;11.2;2011
444000;Caen;19 ans et moins;19.2;2012
182063;Mulhouse;20 ans à 29 ans;25.5;2014
182063;Mulhouse;30 ans à 39 ans;16.7;2014
182063;Mulhouse;50 ans à 59 ans;13.6;2014
182063;Mulhouse;19 ans et moins;25.9;2014
481002;Nantes;19 ans et moins;9.15;2014
141002;Nancy;30 ans à 39 ans;13.7;2014
192039;Metz;20 ans à 29 ans;29.8;2011
192039;Metz;30 ans à 39 ans;16.7;2011
192039;Metz;40 ans à 49 ans;13.4;2011
192039;Metz;40 ans à 49 ans;14.0;2016
271494;Aéroport Charles de Gaulle 2 TGV;50 ans à 59 ans;4.48;2013
763029;Valence TGV Rhône-Alpes Sud;20 ans à 29 ans;19.7;2015
611004;Toulouse Matabiau;20 ans à 29 ans;27.7;2014
755009;Toulon;60 ans et plus;18.8;2014
571000;Tours;60 ans et plus;14.3;2016
111849;Marne la Vallée Chessy;20 ans à 29 ans;2.68;2013
773002;Montpellier Saint-Roch;30 ans à 39 ans;15.4;2015
751008;Marseille Saint-Charles;50 ans à 59 ans;12.3;2013
762906;Lyon Saint Exupery TGV;40 ans à 49 ans;21.4;2016
111849;Marne la Vallée Chessy;Non communiqué;84.8;2013
182063;Mulhouse;60 ans et plus;5.68;2014
481002;Nantes;30 ans à 39 ans;15.2;2014
141002;Nancy;20 ans à 29 ans;29.0;2014
481002;Nantes;Non communiqué;1.08;2014
192039;Metz;20 ans à 29 ans;29.7;2016
391003;Paris Montparnasse 1 et 2 + Vaugirard;50 ans à 59 ans;15.2;2012
686006;Paris Gare de Lyon;40 ans à 49 ans;18.8;2012
547000;Paris Austerlitz;30 ans à 39 ans;19.2;2013
547000;Paris Austerlitz;20 ans à 29 ans;25.1;2013
384008;Paris St Lazare;20 ans à 29 ans;30.1;2013
271007;Paris Nord;60 ans et plus;5.01;2012
113001;Paris Est;50 ans à 59 ans;14.2;2012
756056;Nice;50 ans à 59 ans;13.8;2014
756056;Nice;60 ans et plus;15.4;2014
;Paris Bercy;50 ans à 59 ans;17.6;2012
271494;Aéroport Charles de Gaulle 2 TGV;40 ans à 49 ans;5.8;2013
300863;Besançon Franche-Comté TGV;30 ans à 39 ans;19.6;2015
300822;Belfort Montbéliard TGV;30 ans à 39 ans;20.7;2015
300822;Belfort Montbéliard TGV;40 ans à 49 ans;20.8;2015
300822;Belfort Montbéliard TGV;60 ans et plus;14.3;2015
444877;Cherbourg;20 ans à 29 ans;23.3;2015
673400;Biarritz;20 ans à 29 ans;19.6;2016
673400;Biarritz;19 ans et moins;14.1;2016
673004;Bayonne;20 ans à 29 ans;23.0;2013
182014;Colmar;30 ans à 39 ans;9.81;2017
411017;Rouen Rive Droite;19 ans et moins;17.8;2014
384008;Paris St Lazare;30 ans à 39 ans;21.4;2013
212027;Strasbourg;Non communiqué;44.5;2010
575001;Poitiers;19 ans et moins;17.4;2015
118000;Troyes;30 ans à 39 ans;13.6;2015
471003;Rennes;30 ans à 39 ans;14.9;2014
471003;Rennes;20 ans à 29 ans;25.0;2014
171009;Reims;50 ans à 59 ans;13.0;2016
171009;Reims;19 ans et moins;23.1;2016
171009;Reims;60 ans et plus;9.75;2016
762906;Lyon Saint Exupery TGV;20 ans à 29 ans;28.0;2016
286005;Lille Flandres;30 ans à 39 ans;15.9;2013
722025;Lyon Perrache;19 ans et moins;11.0;2011
223263;Lille Europe;30 ans à 39 ans;20.4;2013
223263;Lille Europe;50 ans à 59 ans;16.3;2013
142109;Lorraine TGV;50 ans à 59 ans;19.7;2017
223263;Lille Europe;20 ans à 29 ans;25.7;2013
476002;Lorient;50 ans à 59 ans;13.8;2010
476002;Lorient;20 ans à 29 ans;21.6;2010
476002;Lorient;19 ans et moins;18.3;2010
223263;Lille Europe;19 ans et moins;5.94;2013
747006;Grenoble;20 ans à 29 ans;26.9;2015
747006;Grenoble;19 ans et moins;12.9;2015
677005;Hendaye;50 ans à 59 ans;13.5;2016
396002;Le Mans;20 ans à 29 ans;19.4;2015
182014;Colmar;40 ans à 49 ans;9.79;2017
182014;Colmar;50 ans à 59 ans;11.4;2017
713040;Dijon;30 ans à 39 ans;10.3;2015
713040;Dijon;20 ans à 29 ans;25.4;2015
713040;Dijon;60 ans et plus;14.4;2015
763029;Valence TGV Rhône-Alpes Sud;40 ans à 49 ans;20.3;2015
763029;Valence TGV Rhône-Alpes Sud;60 ans et plus;19.6;2015
118000;Troyes;50 ans à 59 ans;14.9;2015
271494;Aéroport Charles de Gaulle 2 TGV;30 ans à 39 ans;7.55;2013
319012;Aix en Provence-TGV;20 ans à 29 ans;17.6;2015
484006;Angers Saint Laud;30 ans à 39 ans;13.1;2015
484006;Angers Saint Laud;40 ans à 49 ans;16.8;2015
484006;Angers Saint Laud;20 ans à 29 ans;20.1;2015
583005;Angoulême;19 ans et moins;18.1;2012
583005;Angoulême;Non communiqué;2.48;2012
313874;Amiens;30 ans à 39 ans;8.86;2015
753657;Arles;60 ans et plus;19.9;2014
391003;Paris Montparnasse 1 et 2 + Vaugirard;20 ans à 29 ans;25.3;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;Non communiqué;4.84;2012
686006;Paris Gare de Lyon;30 ans à 39 ans;21.0;2012
411017;Rouen Rive Droite;30 ans à 39 ans;15.9;2014
212027;Strasbourg;30 ans à 39 ans;7.67;2010
271007;Paris Nord;20 ans à 29 ans;26.1;2012
575001;Poitiers;50 ans à 59 ans;13.8;2015
575001;Poitiers;20 ans à 29 ans;26.8;2015
471003;Rennes;40 ans à 49 ans;16.3;2014
471003;Rennes;Non communiqué;0.41;2014
718007;Besançon-Viotte;Non communiqué;100.0;2012
444877;Cherbourg;50 ans à 59 ans;16.0;2015
673400;Biarritz;50 ans à 59 ans;7.82;2016
747006;Grenoble;60 ans et plus;10.1;2015
677005;Hendaye;30 ans à 39 ans;9.44;2016
757625;Cannes;40 ans à 49 ans;12.5;2015
182014;Colmar;60 ans et plus;7.74;2017
478404;Laval;20 ans à 29 ans;23.9;2011
444000;Caen;30 ans à 39 ans;16.0;2012
444000;Caen;40 ans à 49 ans;11.4;2012
111849;Marne la Vallée Chessy;50 ans à 59 ans;2.05;2013
773002;Montpellier Saint-Roch;50 ans à 59 ans;13.5;2015
751008;Marseille Saint-Charles;40 ans à 49 ans;15.3;2013
751008;Marseille Saint-Charles;19 ans et moins;13.7;2013
722025;Lyon Perrache;40 ans à 49 ans;18.2;2011
722025;Lyon Perrache;60 ans et plus;10.1;2011
393702;Massy TGV;19 ans et moins;5.08;2013
393702;Massy TGV;60 ans et plus;10.1;2013
141002;Nancy;19 ans et moins;23.5;2014
192039;Metz;50 ans à 59 ans;13.6;2016
763029;Valence TGV Rhône-Alpes Sud;30 ans à 39 ans;17.8;2015
611004;Toulouse Matabiau;30 ans à 39 ans;17.2;2014
212027;Strasbourg;50 ans à 59 ans;13.5;2016
212027;Strasbourg;20 ans à 29 ans;26.5;2016
212027;Strasbourg;19 ans et moins;21.6;2016
212027;Strasbourg;60 ans et plus;9.0;2016
755009;Toulon;40 ans à 49 ans;10.9;2014
571000;Tours;30 ans à 39 ans;10.9;2016
571000;Tours;50 ans à 59 ans;14.6;2016
571000;Tours;20 ans à 29 ans;24.7;2016
723197;Lyon Part Dieu;19 ans et moins;10.4;2011
723197;Lyon Part Dieu;60 ans et plus;7.89;2011
142109;Lorraine TGV;30 ans à 39 ans;14.7;2017
396002;Le Mans;40 ans à 49 ans;17.5;2015
476002;Lorient;40 ans à 49 ans;15.3;2010
478404;Laval;30 ans à 39 ans;16.1;2011
478404;Laval;50 ans à 59 ans;14.6;2011
345025;Lens;30 ans à 39 ans;16.9;2016
345025;Lens;50 ans à 59 ans;9.51;2016
345025;Lens;20 ans à 29 ans;30.1;2016
547000;Paris Austerlitz;50 ans à 59 ans;17.9;2013
547000;Paris Austerlitz;19 ans et moins;4.6;2013
547000;Paris Austerlitz;60 ans et plus;13.5;2013
113001;Paris Est;20 ans à 29 ans;23.7;2012
113001;Paris Est;60 ans et plus;7.7;2012
481002;Nantes;40 ans à 49 ans;17.5;2014
775007;Nîmes;20 ans à 29 ans;24.4;2014
756056;Nice;40 ans à 49 ans;13.7;2014
;Paris Bercy;19 ans et moins;1.89;2012
;Paris Bercy;60 ans et plus;16.9;2012
271494;Aéroport Charles de Gaulle 2 TGV;Non communiqué;70.8;2013
300863;Besançon Franche-Comté TGV;20 ans à 29 ans;20.7;2015
300863;Besançon Franche-Comté TGV;60 ans et plus;16.7;2015
300822;Belfort Montbéliard TGV;20 ans à 29 ans;19.4;2015
318964;Avignon TGV;30 ans à 39 ans;16.5;2015
318964;Avignon TGV;19 ans et moins;5.8;2015
583005;Angoulême;40 ans à 49 ans;11.7;2012
673004;Bayonne;19 ans et moins;14.5;2013
753657;Arles;30 ans à 39 ans;13.2;2014
271494;Aéroport Charles de Gaulle 2 TGV;19 ans et moins;0.93;2013
300822;Belfort Montbéliard TGV;50 ans à 59 ans;19.9;2015
318964;Avignon TGV;40 ans à 49 ans;16.0;2015
318964;Avignon TGV;50 ans à 59 ans;16.3;2015
673004;Bayonne;30 ans à 39 ans;14.9;2013
313874;Amiens;50 ans à 59 ans;8.05;2015
313874;Amiens;19 ans et moins;34.5;2015
753657;Arles;40 ans à 49 ans;17.7;2014
313874;Amiens;60 ans et plus;6.51;2015
300863;Besançon Franche-Comté TGV;19 ans et moins;10.1;2015
300863;Besançon Franche-Comté TGV;40 ans à 49 ans;18.5;2015
581009;Bordeaux Saint-Jean;60 ans et plus;13.7;2014
747006;Grenoble;30 ans à 39 ans;16.2;2015
747006;Grenoble;40 ans à 49 ans;16.7;2015
747006;Grenoble;50 ans à 59 ans;17.2;2015
444877;Cherbourg;60 ans et plus;15.9;2015
673400;Biarritz;60 ans et plus;35.1;2016
677005;Hendaye;19 ans et moins;9.28;2016
444000;Caen;60 ans et plus;11.9;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;30 ans à 39 ans;18.0;2012
391003;Paris Montparnasse 1 et 2 + Vaugirard;40 ans à 49 ans;17.5;2012
384008;Paris St Lazare;40 ans à 49 ans;17.9;2013
384008;Paris St Lazare;50 ans à 59 ans;14.7;2013
271007;Paris Nord;40 ans à 49 ans;16.6;2012
271007;Paris Nord;Non communiqué;14.6;2012
784009;Perpignan;50 ans à 59 ans;14.9;2016
575001;Poitiers;30 ans à 39 ans;13.1;2015
784009;Perpignan;60 ans et plus;22.0;2016
212027;Strasbourg;40 ans à 49 ans;8.33;2010
212027;Strasbourg;50 ans à 59 ans;6.72;2010
212027;Strasbourg;30 ans à 39 ans;14.8;2016
212027;Strasbourg;40 ans à 49 ans;14.6;2016
212027;Strasbourg;20 ans à 29 ans;18.0;2010
212027;Strasbourg;19 ans et moins;8.12;2010
755009;Toulon;30 ans à 39 ans;14.0;2014
755009;Toulon;50 ans à 59 ans;11.1;2014
111849;Marne la Vallée Chessy;40 ans à 49 ans;4.02;2013
111849;Marne la Vallée Chessy;30 ans à 39 ans;4.4;2013
762906;Lyon Saint Exupery TGV;60 ans et plus;10.0;2016
723197;Lyon Part Dieu;30 ans à 39 ans;17.6;2011
723197;Lyon Part Dieu;50 ans à 59 ans;13.7;2011
722025;Lyon Perrache;50 ans à 59 ans;16.0;2011
722025;Lyon Perrache;Non communiqué;0.32;2011
393702;Massy TGV;30 ans à 39 ans;19.3;2013
476002;Lorient;30 ans à 39 ans;14.8;2010
192039;Metz;Non communiqué;0.16;2011
286005;Lille Flandres;40 ans à 49 ans;15.9;2013
286005;Lille Flandres;20 ans à 29 ans;32.1;2013
286005;Lille Flandres;Non communiqué;0.11;2013
223263;Lille Europe;40 ans à 49 ans;18.7;2013
396002;Le Mans;30 ans à 39 ans;13.9;2015
396002;Le Mans;50 ans à 59 ans;19.4;2015
677005;Hendaye;40 ans à 49 ans;12.6;2016
396002;Le Mans;19 ans et moins;15.4;2015
478404;Laval;40 ans à 49 ans;15.2;2011
345025;Lens;60 ans et plus;6.96;2016
773002;Montpellier Saint-Roch;40 ans à 49 ans;11.9;2015
773002;Montpellier Saint-Roch;20 ans à 29 ans;29.8;2015
773002;Montpellier Saint-Roch;Non communiqué;0.13;2015
182063;Mulhouse;40 ans à 49 ans;12.6;2014
141002;Nancy;60 ans et plus;10.8;2014
192039;Metz;19 ans et moins;14.2;2011
192039;Metz;50 ans à 59 ans;15.8;2011
192039;Metz;30 ans à 39 ans;17.1;2016
192039;Metz;60 ans et plus;9.9;2011
192039;Metz;60 ans et plus;11.5;2016
547000;Paris Austerlitz;40 ans à 49 ans;17.5;2013
547000;Paris Austerlitz;Non communiqué;2.2;2013
113001;Paris Est;30 ans à 39 ans;17.5;2012
113001;Paris Est;19 ans et moins;7.94;2012
113001;Paris Est;Non communiqué;12.2;2012
481002;Nantes;20 ans à 29 ans;23.8;2014
775007;Nîmes;30 ans à 39 ans;12.7;2014
775007;Nîmes;40 ans à 49 ans;13.3;2014
481002;Nantes;60 ans et plus;15.2;2014
;Paris Bercy;30 ans à 39 ans;21.1;2012
411017;Rouen Rive Droite;50 ans à 59 ans;14.3;2014
411017;Rouen Rive Droite;20 ans à 29 ans;29.2;2014
411017;Rouen Rive Droite;60 ans et plus;10.9;2014
471003;Rennes;19 ans et moins;12.5;2014
171009;Reims;20 ans à 29 ans;24.9;2016
171009;Reims;40 ans à 49 ans;14.9;2016
611004;Toulouse Matabiau;50 ans à 59 ans;11.8;2014
611004;Toulouse Matabiau;40 ans à 49 ans;13.6;2014
611004;Toulouse Matabiau;19 ans et moins;15.1;2014
611004;Toulouse Matabiau;60 ans et plus;14.7;2014
118000;Troyes;20 ans à 29 ans;24.7;2015
118000;Troyes;19 ans et moins;19.9;2015
