Mois;UIC;Nom gare;Nombre de non-conformités;Nombre d'observations;Taux de conformité
2017-02;87586008;Agen;28;302;90.72847682
2017-03;87300822;Belfort - Montbéliard TGV;25;336;92.55952381
2017-02;87757526;Saint-Raphaël Valescure;106;712;85.11235955
2017-02;87762906;Lyon Saint-Exupéry TGV;38;478;92.05020921
2017-10;87763029;Valence TGV Rhône-Alpes Sud;71;713;90.04207574
2017-10;87757526;Saint-Raphaël Valescure;77;735;89.52380952
2017-11;87111849;Marne-la-Vallée Chessy;38;642;94.08099688
2017-10;87764001;Montélimar;20;342;94.15204678
2017-10;87757674;Antibes;76;790;90.37974684
2017-10;87757625;Cannes;140;768;81.77083333
2017-10;87775007;Nîmes;18;710;97.46478873
2017-11;87141002;Nancy;47;640;92.65625
2017-10;87773200;Sète;29;358;91.89944134
2017-02;87182063;Mulhouse;11;519;97.8805395
2017-02;87171009;Reims;25;700;96.42857143
2017-02;87141002;Nancy;64;711;90.99859353
2017-08;87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;17;370;95.40540541
2017-08;87763029;Valence TGV Rhône-Alpes Sud;79;720;89.02777778
2017-08;87726000;Saint-Étienne Châteaucreux;43;540;92.03703704
2017-08;87757526;Saint-Raphaël Valescure;105;758;86.14775726
2017-08;87725705;Mâcon Loché TGV;20;201;90.04975124
2017-08;87734004;Clermont-Ferrand;47;491;90.42769857
2017-08;87722025;Lyon Perrache;18;692;97.39884393
2017-09;87113001;Paris Est;38;598;93.64548495
2017-08;87781104;Narbonne;53;436;87.8440367
2017-09;87141002;Nancy;52;626;91.69329073
2017-09;87686667;Paris Bercy Bourgogne - Pays d'Auvergne;25;654;96.17737003
2017-09;87741728;Moûtiers - Salins - Brides-les-Bains;8;128;93.75
2017-09;87686006;Paris Gare de Lyon Hall 1 & 2;49;1005;95.12437811
2017-09;87611244;Montauban Ville Bourbon;12;319;96.23824451
2017-09;87741793;Bourg-Saint-Maurice;6;153;96.07843137
2017-09;87581009;Bordeaux Saint-Jean;32;649;95.06933744
2017-09;87594002;Brive-la-Gaillarde;3;350;99.14285714
2017-09;87718007;Besançon Viotte;31;656;95.27439024
2017-09;87713040;Dijon;66;801;91.76029963
2017-09;87672006;Pau;7;352;98.01136364
2017-09;87571216;Vendôme - Villiers-sur-Loir;48;421;88.59857482
2017-09;87571240;Saint-Pierre-des-Corps;13;641;97.97191888
2017-09;87481754;La Baule-Escoublac;23;260;91.15384615
2017-09;87281071;Calais - Fréthun;18;730;97.53424658
2017-09;87574004;Blois - Chambord;19;279;93.18996416
2017-09;87343004;Valenciennes;11;509;97.8388998
2017-09;87223263;Lille Europe;22;568;96.12676056
2017-09;87485003;La Rochelle;43;448;90.40178571
2017-09;87471003;Rennes;66;471;85.98726115
2017-09;87474007;Brest;25;337;92.58160237
2017-10;87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;7;292;97.60273973
2017-10;87571240;Saint-Pierre-des-Corps;10;676;98.52071006
2017-10;87411017;Rouen Rive Droite;121;643;81.18195956
2017-10;87574004;Blois - Chambord;23;279;91.7562724
2017-10;87481705;Saint-Nazaire;30;334;91.01796407
2017-10;87584052;Libourne;4;76;94.73684211
2017-10;87571000;Tours;30;656;95.42682927
2017-10;87474007;Brest;22;333;93.39339339
2017-10;87345025;Lens;33;518;93.62934363
2017-10;87673202;Dax;24;422;94.31279621
2017-08;87571240;Saint-Pierre-des-Corps;14;642;97.81931464
2017-08;87611244;Montauban Ville Bourbon;19;322;94.09937888
2017-08;87411017;Rouen Rive Droite;69;593;88.36424958
2017-08;87575142;Châtellerault;3;270;98.88888889
2017-08;87343004;Valenciennes;9;655;98.6259542
2017-08;87485003;La Rochelle;33;457;92.77899344
2017-08;87318964;Avignon TGV;36;504;92.85714286
2017-08;87584052;Libourne;2;306;99.34640523
2017-08;87673004;Bayonne;96;301;68.10631229
2017-08;87396002;Le Mans;58;694;91.6426513
2017-06;87762906;Lyon Saint-Exupéry TGV;52;542;90.40590406
2017-06;87755447;Les Arcs - Draguignan;39;452;91.37168142
2017-07;87411017;Rouen Rive Droite;44;158;72.15189873
2017-07;87611004;Toulouse Matabiau;26;618;95.79288026
2017-07;87473009;Saint-Brieuc;12;331;96.37462236
2017-07;87192039;Metz Ville;25;623;95.98715891
2017-07;87474338;Morlaix;23;379;93.93139842
2017-07;87118000;Troyes;12;299;95.98662207
2017-07;87478404;Laval;15;311;95.17684887
2017-07;87345025;Lens;28;370;92.43243243
2017-08;87171926;Champagne-Ardenne TGV;39;615;93.65853659
2017-07;87755447;Les Arcs - Draguignan;36;463;92.22462203
2017-08;87271007;Paris Gare du Nord;128;1293;90.10054138
2017-07;87734004;Clermont-Ferrand;48;488;90.16393443
2017-08;87212027;Strasbourg;17;426;96.00938967
2017-07;87781005;Béziers;30;415;92.77108434
2017-07;87673004;Bayonne;40;426;90.61032864
2017-07;87713040;Dijon;50;790;93.67088608
2017-07;87773200;Sète;35;380;90.78947368
2017-07;87673202;Dax;20;332;93.97590361
2017-10;87300822;Belfort - Montbéliard TGV;23;304;92.43421053
2017-10;87171926;Champagne-Ardenne TGV;34;531;93.59698682
2017-10;87271007;Paris Gare du Nord;131;1289;89.83708301
2017-10;87313882;TGV Haute Picardie;8;630;98.73015873
2017-10;87281071;Calais - Fréthun;27;617;95.62398703
2017-10;87147322;Meuse TGV;8;223;96.41255605
2017-10;87313874;Amiens;39;546;92.85714286
2017-10;87345009;Douai;34;591;94.24703892
2017-09;87773200;Sète;23;373;93.83378016
2017-09;87781278;Agde;10;254;96.06299213
2017-10;87741009;Chambéry - Challes-les-Eaux;44;786;94.40203562
2017-12;87300822;Belfort - Montbéliard TGV;21;332;93.6746988
2017-12;87271007;Paris Gare du Nord;131;1280;89.765625
2017-11;87743005;Bourg-en-Bresse;31;400;92.25
2017-11;87722025;Lyon Perrache;14;673;97.91976226
2017-12;87276691;Compiègne;16;277;94.22382671
2017-11;87784009;Perpignan;18;302;94.0397351
2017-12;87113001;Paris Est;43;584;92.6369863
2017-02;87142109;Lorraine TGV;25;328;92.37804878
2017-02;87118000;Troyes;17;310;94.51612903
2017-02;87271494;Aéroport Charles de Gaulle 2 TGV;59;546;89.19413919
2017-02;87391003;Paris Montparnasse Hall 1 & 2;89;1909;95.33787323
2017-02;87271007;Paris Gare du Nord;126;1255;89.96015936
2017-02;87484006;Angers Saint-Laud;54;721;92.51040222
2017-02;87411017;Rouen Rive Droite;41;529;92.24952741
2017-02;87192039;Metz Ville;35;619;94.3457189
2017-02;87276691;Compiègne;8;252;96.82539683
2017-02;87281006;Dunkerque;27;416;93.50961538
2017-02;87474338;Morlaix;39;258;84.88372093
2017-02;87471003;Rennes;21;363;94.21487603
2017-04;87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;6;276;97.82608696
2017-04;87686006;Paris Gare de Lyon Hall 1 & 2;44;986;95.53752535
2017-04;87773002;Montpellier Saint-Roch;108;846;87.23404255
2017-04;87751008;Marseille Saint-Charles;96;678;85.84070796
2017-04;87734004;Clermont-Ferrand;38;494;92.30769231
2017-04;87745000;Bellegarde;32;411;92.21411192
2017-04;87757674;Antibes;82;691;88.13314038
2017-04;87746008;Annecy;17;364;95.32967033
2017-04;87576009;Vierzon;19;304;93.75
2017-04;87586008;Agen;94;542;82.65682657
2017-03;87686006;Paris Gare de Lyon Hall 1 & 2;40;1005;96.0199005
2017-03;87571216;Vendôme - Villiers-sur-Loir;24;528;95.45454545
2017-03;87384008;Paris Saint-Lazare;30;618;95.14563107
2017-03;87547000;Paris Austerlitz;30;544;94.48529412
2017-03;87574004;Blois - Chambord;27;280;90.35714286
2017-03;87575142;Châtellerault;3;272;98.89705882
2017-03;87393702;Massy TGV;11;547;97.98903108
2017-03;87413013;Le Havre;7;584;98.80136986
2017-03;87474007;Brest;14;339;95.87020649
2017-03;87485300;Niort;18;410;95.6097561
2017-03;87271494;Aéroport Charles de Gaulle 2 TGV;45;530;91.50943396
2017-03;87300863;Besançon Franche-Comté TGV;20;234;91.45299145
2017-03;87111849;Marne-la-Vallée Chessy;76;694;89.04899135
2017-02;87764001;Montélimar;14;276;94.92753623
2017-02;87784009;Perpignan;26;573;95.46247818
2017-02;87781005;Béziers;14;406;96.55172414
2017-02;87755009;Toulon;47;685;93.13868613
2017-02;87746008;Annecy;24;352;93.18181818
2017-03;87182014;Colmar;19;275;93.09090909
2017-03;87345009;Douai;25;591;95.76988156
2017-02;87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;7;292;97.60273973
2017-02;87741793;Bourg-Saint-Maurice;21;335;93.73134328
2017-02;87486019;La Roche-sur-Yon;7;300;97.66666667
2017-02;87485003;La Rochelle;32;582;94.50171821
2017-02;87575001;Poitiers;19;571;96.67250438
2017-02;87576009;Vierzon;12;287;95.81881533
2017-02;87673004;Bayonne;5;227;97.79735683
2017-02;87671339;Lourdes;2;292;99.31506849
2017-02;87672006;Pau;8;350;97.71428571
2017-02;87673202;Dax;17;348;95.11494253
2017-05;87111849;Marne-la-Vallée Chessy;64;857;92.53208868
2017-05;87172007;Charleville-Mézières;25;828;96.98067633
2017-05;87212027;Strasbourg;51;678;92.47787611
2017-05;87276691;Compiègne;17;379;95.51451187
2017-04;87784009;Perpignan;29;552;94.74637681
2017-05;87281006;Dunkerque;25;444;94.36936937
2017-04;87781104;Narbonne;31;387;91.98966408
2017-05;87182014;Colmar;18;285;93.68421053
2017-05;87342014;Arras;48;830;94.21686747
2017-04;87781278;Agde;24;273;91.20879121
2017-06;87413013;Le Havre;9;492;98.17073171
2017-06;87476606;Vannes;63;261;75.86206897
2017-06;87478404;Laval;19;294;93.53741497
2017-06;87345025;Lens;38;666;94.29429429
2017-05;87694109;Le Creusot - Montceau-les-Mines - Montchanin TGV;8;306;97.38562092
2017-05;87686667;Paris Bercy Bourgogne - Pays d'Auvergne;29;647;95.51777434
2017-05;87762906;Lyon Saint-Exupéry TGV;29;281;89.6797153
2017-05;87581009;Bordeaux Saint-Jean;38;713;94.67040673
2017-05;87611004;Toulouse Matabiau;13;611;97.87234043
2017-05;87718007;Besançon Viotte;31;653;95.25267994
2017-05;87583005;Angoulême;18;337;94.65875371
2017-05;87673400;Biarritz;16;368;95.65217391
2017-05;87746008;Annecy;17;368;95.38043478
2017-05;87713040;Dijon;58;809;92.83065513
2017-05;87763029;Valence TGV Rhône-Alpes Sud;56;708;92.09039548
2017-06;87300822;Belfort - Montbéliard TGV;14;361;96.12188366
2017-05;87773002;Montpellier Saint-Roch;65;672;90.32738095
2017-06;87286005;Lille Flandres;44;634;93.05993691
2017-05;87764001;Montélimar;18;253;92.88537549
2017-06;87212027;Strasbourg;51;691;92.61939219
2017-06;87147322;Meuse TGV;11;285;96.14035088
2017-05;87781005;Béziers;17;423;95.98108747
2017-06;87118000;Troyes;16;264;93.93939394
2017-06;87141002;Nancy;58;654;91.13149847
2017-03;87757526;Saint-Raphaël Valescure;74;712;89.60674157
2017-03;87762906;Lyon Saint-Exupéry TGV;41;490;91.63265306
2017-04;87171926;Champagne-Ardenne TGV;53;625;91.52
2017-03;87745000;Bellegarde;34;362;90.60773481
2017-04;87192039;Metz Ville;35;628;94.42675159
2017-03;87784009;Perpignan;26;596;95.63758389
2017-04;87118000;Troyes;14;300;95.33333333
2017-03;87775007;Nîmes;28;734;96.1852861
2017-04;87141002;Nancy;67;638;89.4984326
2017-03;87756056;Nice;55;557;90.12567325
2017-04;87476002;Lorient Bretagne Sud;32;333;90.39039039
2017-04;87271007;Paris Gare du Nord;146;1271;88.5129819
2017-04;87343004;Valenciennes;31;574;94.59930314
2017-04;87543017;Les Aubrais;18;267;93.25842697
2017-06;87686667;Paris Bercy Bourgogne - Pays d'Auvergne;19;650;97.07692308
2017-06;87581009;Bordeaux Saint-Jean;48;736;93.47826087
2017-06;87734004;Clermont-Ferrand;70;485;85.56701031
2017-06;87743005;Bourg-en-Bresse;46;373;87.66756032
2017-06;87597005;Châteauroux;16;346;95.37572254
2017-06;87781005;Béziers;23;423;94.56264775
2017-06;87673004;Bayonne;16;300;94.66666667
2017-06;87757625;Cannes;122;838;85.44152745
2017-06;87586008;Agen;27;334;91.91616766
2017-06;87673202;Dax;30;335;91.04477612
2017-10;87686006;Paris Gare de Lyon Hall 1 & 2;34;1012;96.64031621
2017-10;87592006;Limoges Bénédictins;15;340;95.58823529
2017-10;87741793;Bourg-Saint-Maurice;6;159;96.22641509
2017-10;87484006;Angers Saint-Laud;66;722;90.85872576
2017-10;87725705;Mâcon Loché TGV;12;264;95.45454545
2017-10;87615286;Carcassonne;9;299;96.98996656
2017-10;87671339;Lourdes;1;320;99.6875
2017-10;87732008;Vichy;11;241;95.43568465
2017-10;87485300;Niort;30;364;91.75824176
2017-07;87741728;Moûtiers - Salins - Brides-les-Bains;5;150;96.66666667
2017-08;87271494;Aéroport Charles de Gaulle 2 TGV;59;522;88.69731801
2017-07;87757526;Saint-Raphaël Valescure;81;760;89.34210526
2017-07;87751008;Marseille Saint-Charles;90;680;86.76470588
2017-08;87286005;Lille Flandres;36;570;93.68421053
2017-08;87113001;Paris Est;37;575;93.56521739
2017-08;87182063;Mulhouse;5;508;99.01574803
2017-08;87171009;Reims;15;799;98.12265332
2017-07;87756056;Nice;117;756;84.52380952
2017-07;87781278;Agde;27;266;89.84962406
2017-08;87741728;Moûtiers - Salins - Brides-les-Bains;18;191;90.57591623
2017-08;87741009;Chambéry - Challes-les-Eaux;33;680;95.14705882
2017-08;87773002;Montpellier Saint-Roch;98;732;86.61202186
2017-08;87751008;Marseille Saint-Charles;119;694;82.85302594
2017-08;87755447;Les Arcs - Draguignan;39;454;91.40969163
2017-08;87741793;Bourg-Saint-Maurice;13;239;94.56066946
2017-09;87142109;Lorraine TGV;18;411;95.62043796
2017-08;87784009;Perpignan;31;501;93.81237525
2017-09;87171009;Reims;13;698;98.13753582
2017-08;87773200;Sète;29;378;92.32804233
2017-09;87741009;Chambéry - Challes-les-Eaux;34;764;95.54973822
2017-10;87111849;Marne-la-Vallée Chessy;43;700;93.85714286
2017-10;87384008;Paris Saint-Lazare;26;581;95.52495697
2017-09;87723197;Lyon Part Dieu;38;702;94.58689459
2017-09;87764001;Montélimar;22;322;93.16770186
2017-10;87318964;Avignon TGV;18;502;96.41434263
2017-10;87276691;Compiègne;14;220;93.63636364
2017-09;87747006;Grenoble;32;648;95.0617284
2017-10;87474098;Quimper;3;224;98.66071429
2017-10;87481002;Nantes;31;511;93.9334638
2017-07;87741009;Chambéry - Challes-les-Eaux;51;728;92.99450549
2017-07;87611244;Montauban Ville Bourbon;14;327;95.71865443
2017-07;87384008;Paris Saint-Lazare;33;617;94.65153971
2017-07;87343004;Valenciennes;2;300;99.33333333
2017-07;87597005;Châteauroux;16;374;95.72192513
2017-07;87543017;Les Aubrais;11;259;95.75289575
2017-07;87583005;Angoulême;44;359;87.74373259
2017-07;87576009;Vierzon;12;322;96.27329193
2017-07;87485300;Niort;47;544;91.36029412
2017-07;87345009;Douai;47;599;92.15358932
2017-08;87391003;Paris Montparnasse Hall 1 & 2;110;1875;94.13333333
2017-08;87571216;Vendôme - Villiers-sur-Loir;21;422;95.02369668
2017-08;87547000;Paris Austerlitz;42;563;92.53996448
2017-08;87473009;Saint-Brieuc;31;318;90.25157233
2017-08;87575001;Poitiers;35;571;93.8704028
2017-08;87474338;Morlaix;23;317;92.7444795
2017-08;87474007;Brest;16;420;96.19047619
2017-08;87345009;Douai;23;580;96.03448276
2017-08;87485300;Niort;30;472;93.6440678
2017-08;87672006;Pau;16;342;95.32163743
2017-07;87300822;Belfort - Montbéliard TGV;12;302;96.02649007
2017-07;87172007;Charleville-Mézières;11;644;98.29192547
2017-07;87271007;Paris Gare du Nord;133;1281;89.61748634
2017-07;87281071;Calais - Fréthun;18;765;97.64705882
2017-07;87142109;Lorraine TGV;31;413;92.49394673
2017-07;87147322;Meuse TGV;7;215;96.74418605
2017-06;87781104;Narbonne;48;447;89.26174497
2017-07;87182014;Colmar;11;321;96.57320872
2017-07;87313874;Amiens;38;554;93.14079422
2017-07;87171009;Reims;17;715;97.62237762
2017-09;87319012;Aix-en-Provence TGV;74;659;88.77086495
2017-09;87411017;Rouen Rive Droite;71;600;88.16666667
2017-09;87486019;La Roche-sur-Yon;6;300;98.0
2017-09;87286005;Lille Flandres;37;603;93.86401327
2017-09;87543017;Les Aubrais;11;199;94.47236181
2017-09;87584052;Libourne;3;232;98.70689655
2017-09;87673400;Biarritz;55;355;84.50704225
2017-09;87576009;Vierzon;16;417;96.16306954
2017-09;87313874;Amiens;53;727;92.70976616
2017-09;87671339;Lourdes;1;320;99.6875
2017-10;87743005;Bourg-en-Bresse;25;392;93.62244898
2017-02;87147322;Meuse TGV;5;214;97.6635514
2017-03;87741728;Moûtiers - Salins - Brides-les-Bains;17;300;94.33333333
2017-03;87741009;Chambéry - Challes-les-Eaux;50;751;93.34221039
2017-03;87751008;Marseille Saint-Charles;82;670;87.76119403
2017-03;87581009;Bordeaux Saint-Jean;34;456;92.54385965
2017-03;87734004;Clermont-Ferrand;65;573;88.65619546
2017-03;87743005;Bourg-en-Bresse;30;391;92.32736573
2017-03;87723197;Lyon Part Dieu;50;743;93.2705249
2017-03;87673004;Bayonne;8;294;97.27891156
2017-03;87755009;Toulon;59;691;91.46164978
2017-02;87171926;Champagne-Ardenne TGV;42;625;93.28
2017-02;87384008;Paris Saint-Lazare;29;607;95.22240527
2017-02;87543017;Les Aubrais;13;265;95.09433962
2017-02;87393702;Massy TGV;12;583;97.94168096
2017-02;87476606;Vannes;42;353;88.101983
2017-02;87763029;Valence TGV Rhône-Alpes Sud;55;726;92.42424242
2017-03;87172007;Charleville-Mézières;14;552;97.46376812
2017-03;87171926;Champagne-Ardenne TGV;45;628;92.8343949
2017-02;87755447;Les Arcs - Draguignan;43;461;90.67245119
2017-03;87313882;TGV Haute Picardie;13;560;97.67857143
2017-03;87281071;Calais - Fréthun;31;761;95.92641261
2017-03;87281006;Dunkerque;29;448;93.52678571
2017-03;87147322;Meuse TGV;6;286;97.9020979
2017-03;87313874;Amiens;53;626;91.53354633
2017-02;87756056;Nice;53;574;90.76655052
2017-06;87473009;Saint-Brieuc;37;320;88.4375
2017-06;87191007;Thionville;14;348;95.97701149
2017-06;87478107;Saint-Malo;37;270;86.2962963
2017-06;87276691;Compiègne;18;315;94.28571429
2017-06;87281006;Dunkerque;22;379;94.19525066
2017-05;87747006;Grenoble;23;669;96.56203288
2017-06;87182063;Mulhouse;7;499;98.59719439
2017-06;87342014;Arras;52;747;93.03882195
2017-06;87171009;Reims;23;802;97.13216958
2017-02;87686006;Paris Gare de Lyon Hall 1 & 2;61;951;93.58569926
2017-02;87741009;Chambéry - Challes-les-Eaux;39;815;95.21472393
2017-02;87726000;Saint-Étienne Châteaucreux;42;556;92.44604317
2017-02;87571240;Saint-Pierre-des-Corps;19;689;97.24238026
2017-02;87547000;Paris Austerlitz;33;558;94.08602151
2017-02;87743005;Bourg-en-Bresse;33;488;93.23770492
2017-02;87574004;Blois - Chambord;23;274;91.60583942
2017-02;87597005;Châteauroux;17;347;95.10086455
2017-02;87615286;Carcassonne;13;426;96.94835681
2017-02;87673400;Biarritz;9;361;97.50692521
2017-05;87571216;Vendôme - Villiers-sur-Loir;28;421;93.34916865
2017-05;87741009;Chambéry - Challes-les-Eaux;31;783;96.04086845
2017-05;87726000;Saint-Étienne Châteaucreux;30;557;94.61400359
2017-05;87571240;Saint-Pierre-des-Corps;11;473;97.6744186
2017-05;87725705;Mâcon Loché TGV;6;274;97.81021898
2017-05;87743005;Bourg-en-Bresse;40;382;89.52879581
2017-05;87615286;Carcassonne;22;434;94.93087558
2017-05;87575001;Poitiers;32;564;94.32624113
2017-05;87673004;Bayonne;23;292;92.12328767
2017-05;87671339;Lourdes;1;320;99.6875
2017-04;87300863;Besançon Franche-Comté TGV;17;235;92.76595745
2017-04;87172007;Charleville-Mézières;23;883;97.39524349
2017-03;87741793;Bourg-Saint-Maurice;19;332;94.27710843
2017-04;87281071;Calais - Fréthun;22;658;96.65653495
2017-04;87212027;Strasbourg;34;678;94.98525074
2017-04;87276691;Compiègne;9;252;96.42857143
2017-04;87147322;Meuse TGV;9;371;97.57412399
2017-03;87747006;Grenoble;17;617;97.24473258
2017-03;87781005;Béziers;13;430;96.97674419
2017-03;87773200;Sète;18;393;95.41984733
2017-04;87741728;Moûtiers - Salins - Brides-les-Bains;27;360;92.5
2017-04;87762906;Lyon Saint-Exupéry TGV;28;380;92.63157895
2017-04;87725705;Mâcon Loché TGV;4;260;98.46153846
2017-04;87718007;Besançon Viotte;24;672;96.42857143
2017-05;87142109;Lorraine TGV;34;409;91.68704156
2017-04;87615286;Carcassonne;17;452;96.23893805
2017-04;87584052;Libourne;17;304;94.40789474
2017-04;87747006;Grenoble;33;653;94.94640123
2017-04;87756056;Nice;48;561;91.44385027
2017-04;87673202;Dax;32;335;90.44776119
2017-05;87171926;Champagne-Ardenne TGV;57;540;89.44444444
2017-05;87319012;Aix-en-Provence TGV;68;675;89.92592593
2017-05;87384008;Paris Saint-Lazare;25;625;96.0
2017-05;87484006;Angers Saint-Laud;68;630;89.20634921
2017-05;87485003;La Rochelle;29;503;94.23459245
2017-05;87191007;Thionville;15;330;95.45454545
2017-05;87192039;Metz Ville;46;616;92.53246753
2017-05;87543009;Orléans;71;673;89.45022288
2017-05;87476606;Vannes;68;353;80.73654391
2017-05;87171009;Reims;16;711;97.74964838
2017-04;87571240;Saint-Pierre-des-Corps;18;626;97.12460064
2017-04;87581009;Bordeaux Saint-Jean;44;626;92.97124601
2017-04;87481705;Saint-Nazaire;19;356;94.66292135
2017-04;87473009;Saint-Brieuc;12;286;95.8041958
2017-04;87393702;Massy TGV;11;565;98.05309735
2017-04;87396002;Le Mans;56;669;91.62929746
2017-04;87471003;Rennes;25;441;94.33106576
2017-04;87313874;Amiens;40;600;93.33333333
2017-04;87474007;Brest;6;334;98.20359281
2017-04;87478404;Laval;16;310;94.83870968
2017-03;87571240;Saint-Pierre-des-Corps;23;645;96.43410853
2017-03;87611244;Montauban Ville Bourbon;12;308;96.1038961
2017-03;87411017;Rouen Rive Droite;69;532;87.03007519
2017-03;87481705;Saint-Nazaire;23;356;93.53932584
